username,userid,profile_location,created_at,text,retweet_count,source,coordinates
24HRS ESSAYS pro✍👨‍💻/ASSIGNMENTS/EXAMS/HW DUE,1299026902355718146,"New York, USA ",2023-01-25 01:14:52,"Stuck with your academic work? 
Hmu for help with your essays, assignments,  Calculus,  Homework,  online classes,… https://t.co/m7oqijytXp",0,Twitter for Android,
Samuel Abrams,1115678926880120838,"New York, NY",2023-01-25 01:13:13,Elite schools make up barely 2 percent of the student higher education population but generate an awful lot of atte… https://t.co/NQ33LK90KP,2,Twitter Web App,
Geo,3799693707,"Brooklyn, NY",2023-01-25 01:11:16,"My bedroom senior year of college! (Mattress on floor, though no big stick which is pretty cool)… https://t.co/VGOXj4CJPp",0,Twitter for iPhone,
leen !,887369374289600512,nyc,2023-01-25 01:09:39,this is so true like we rly used to be doin this 5 days straight ... i can neva even have a single 8am in college h… https://t.co/SqDF81A43Y,0,Twitter for iPhone,
Simple Simon's Sinuses,2452393034,"New York, USA",2023-01-25 01:09:15,"@healthbyjames It's great that he has like 3 degrees in virology - oh no, wait, he's a college dropout with lots of… https://t.co/LNXBQTbkC9",0,Twitter Web App,
Bobby Reed,1274869564820594688,NYC ,2023-01-25 01:08:15,@layxsnv I stayed at whore houses in Thailand that looked better than this! Shame on the college!,0,Twitter Web App,
Lizbeth,1179182719831564288,"New York, USA",2023-01-25 01:07:15,@MrLandesman @karinchenoweth Why is so important to connect our student to community resources tha can help them po… https://t.co/xJHUhq5HvL,0,Twitter for iPhone,
MeechyGee,238667171,NYC,2023-01-25 01:07:05,@HotSauceBling @layxsnv I ain’t start talking to white people until my first gig out of college,0,Twitter for iPhone,
nick waplington,1718805510,"Bedford Stuyvesant, Brooklyn",2023-01-25 01:06:55,@numanofficial Get well soon 🙏. I worked at Worthing Hospital as a porter when I was a student at the art college t… https://t.co/wO8ttGI92l,0,Twitter for iPhone,
Armand,20022113,"New York, NY",2023-01-25 01:04:45,What happened to Pat Macafee coming back after college football? @WWEGareth @WWE,0,Twitter for Android,
Deidre Hudson,29272038,"New York, NY",2023-01-25 01:02:22,"Just injecting a bit of personal into LI.

My son, now a freshman in college. Wasn’t quite sure what he wanted to l… https://t.co/cYgIyUKcIZ",0,LinkedIn,
Three,23900062,New Jersey/New York,2023-01-25 01:00:28,"Oh God, suddenly I’m back in college 🤢 https://t.co/mk8xJq5y0e",0,Twitter for iPhone,
The Forward,47436923,NYC,2023-01-25 00:57:31,"The suspect in the 2018 murder of Blaze Bernstein, a Jewish and gay college student, will be in court Friday for th… https://t.co/HaiBS91adQ",0,Twitter Web App,
mobilsocial usa,1229008920418693120,New York,2023-01-25 00:56:36,"""Youre watching one of the greatest individual halves in the history of college basketball!""EMONI BATES HAS SCORED… https://t.co/A8HHfXynfW",0,mobilsocial ,
Riley Collins,1949281964,New York City,2023-01-25 00:54:01,This is my bedroom 2 years after college https://t.co/FOJ8iFziWF,0,Twitter for iPhone,
Legit Online Tutors,1491040355982184448,"New York, USA",2023-01-25 00:53:00,"Stuck with your academic work? 
Hmu for help with your essays, assignments,  Calculus,  Homework,  online classes,… https://t.co/KPiW35oOLh",0,Twitter for Android,
kon(rad),2776093724,nyc,2023-01-25 00:51:06,@guccikeychain That’s the same street the community college I went to is! Wow interesting,0,Twitter for iPhone,
